2013,1,1,Announcement: A new journal from AIP Publishing—APL Materials,Mark M. Cassar,2013-06-28,2013-06-28,2013-07-18
2013,1,2,Editorial: Welcome to APL Materials,Judith MacManus-Driscoll,2013-06-28,2013-06-28,2013-07-17
2013,1,3,Commentary: Fostering innovation in materials sciences and engineering,"Renzo Tomellini, Johan Veiga Benesch, Aud Alming",2013-05-16,2013-06-05,2013-06-26
2013,1,4,Commentary: The Materials Project: A materials genome approach to accelerating materials innovation,"Anubhav Jain, Shyue Ping Ong, Geoffroy Hautier, Wei Chen, William Davidson Richards, Stephen Dacek, Shreyas Cholia, Dan Gunter, David Skinner, Gerbrand Ceder, Kristin A. Persson",2013-06-04,2013-06-13,2013-07-18
2013,1,5,Validity of rigid band approximation of PbTe thermoelectric materials,"Yoshiki Takagiwa, Yanzhong Pei, Gregory Pomrehn, G. Jeffrey Snyder",2013-03-09,2013-04-26,2013-06-07
2013,1,6,"Transparent, flexible, and solid-state supercapacitors based on graphene electrodes","Y. Gao, Y. S. Zhou, W. Xiong, L. J. Jiang, M. Mahjouri-samani, P. Thirugnanam, X. Huang, M. M. Wang, L. Jiang, Y. F. Lu",2013-02-18,2013-03-18,2013-06-07
2013,1,7,High quality transparent TiO2/Ag/TiO2 composite electrode films deposited on flexible substrate at room temperature by sputtering,"Aritra Dhar, T. L. Alford",2013-02-20,2013-04-16,2013-06-07
2013,1,8,Spatial mapping of exciton lifetimes in single ZnO nanowires,"J. S. Reparaz, G. Callsen, M. R. Wagner, F. Güell, J. R. Morante, C. M. Sotomayor Torres, A. Hoffmann",2013-03-02,2013-04-10,2013-06-07
2013,1,9,Effect of dimethylaluminumhydride-derived aluminum oxynitride passivation layer on the interface chemistry and band alignment of HfTiO-InGaAs gate stacks,"Gang He, Bin Deng, Hanshuang Chen, Xiaoshuang Chen, Jianguo Lv, Yongqing Ma, Zhaoqi Sun",2013-02-05,2013-03-26,2013-06-11
2013,1,10,Lattice mismatch accommodation via oxygen vacancy ordering in epitaxial La0.5Sr0.5CoO3-δ thin films,"J. Gazquez, Shameek Bose, M. Sharma, M. A. Torija, S. J. Pennycook, C. Leighton, M. Varela",2013-02-13,2013-04-29,2013-06-12
2013,1,11,Temperature dependent mechanical properties of Mo–Si–B compounds via ab initio molecular dynamics,"C. C. Dharmawardhana, R. Sakidja, S. Aryal, W. Y. Ching",2013-01-16,2013-04-18,2013-06-20
2013,1,12,"Highly birefringent, low-loss liquid crystals for terahertz applications","M. Reuter, N. Vieweg, B. M. Fischer, M. Mikulicz, M. Koch, K. Garbat, R. Dąbrowski",2013-01-02,2013-03-26,2013-06-25
2013,2,1,Perspective: Hybrid solar cells: How to get the polymer to cooperate?,"Jonas Weickert, Lukas Schmidt-Mende",2013-04-30,2013-05-22,2013-08-13
2013,2,2,Strain-induced enhancement of the thermoelectric power in thin films of hole-doped La2NiO4+δ,"P. L. Bach, J. M. Vila-Fungueiriño, V. Leborán, Elías Ferreiro-Vila, B. Rodríguez-González, F. Rivadulla",2013-05-03,2013-06-05,2013-08-12
2013,2,3,Local stabilisation of polar order at charged antiphase boundaries in antiferroelectric (Bi0.85Nd0.15)(Ti0.1Fe0.9)O3,"Ian MacLaren, LiQiu Wang, Owen Morris, Alan J. Craven, Robert L. Stamps, Bernhard Schaffer, Quentin M. Ramasse, Shu Miao, Kambiz Kalantari, Iasmi Sterianou, Ian M. Reaney",2013-03-08,2013-05-09,2013-08-13
2013,2,4,Overdoped cuprates with high-temperature superconducting transitions,"M. Marezio, O. Chmaissem, C. Bougerol, M. Karppinen, H. Yamauchi, T. H. Geballe",2013-03-12,2013-05-09,2013-08-23
2013,2,5,Influence of thermal growth parameters on the SiO2/4H-SiC interfacial region,"E. Pitthan, L. D. Lopes, R. Palmieri, S. A. Corrêa, G. V. Soares, H. I. Boudinov, F. C. Stedile",2013-02-08,2013-05-15,2013-08-09
2013,2,6,Paramagnetic FexTa1-x alloys for engineering of perpendicularly magnetized tunnel junctions,"Matthias Gottwald, Jimmy J. Kan, Kangho Lee, Seung H. Kang, Eric E. Fullerton",2013-02-11,2013-04-30,2013-08-09
2013,2,7,Photoinduced reorientation and polarization holography in a new photopolymer with 4-methoxy-N-benzylideneaniline side groups,"Nobuhiro Kawatsuki, Hitomi Matsushita, Mizuho Kondo, Tomoyuki Sasaki, Hiroshi Ono",2013-04-14,2013-05-16,2013-08-09
2013,2,8,CoTaZr/Pd multilayer with perpendicular magnetic anisotropy,"Yong Chang Lau, Hüseyin Kurt, J. M. D. Coey",2013-03-02,2013-05-17,2013-08-12
2013,2,9,Nanolabyrinthine ZrAlN thin films by self-organization of interwoven single-crystal cubic and hexagonal phases,"Naureen Ghafoor, Lars J. S. Johnson, Dmitri O. Klenov, Jelly Demeulemeester, Patrick Desjardins, Ivan Petrov, Lars Hultman, Magnus Odén",2013-03-26,2013-05-24,2013-08-12
2013,2,10,Microlattices as architected thin films: Analysis of mechanical properties and high strain elastic recovery,"Kevin J. Maloney, Christopher S. Roper, Alan J. Jacobsen, William B. Carter, Lorenzo Valdevit, Tobias A. Schaedler",2013-04-01,2013-05-16,2013-08-13
2013,2,11,Contrasting behavior of the structural and magnetic properties in Mn- and Fe-doped In2O3 films,"Qi Feng, Harry J. Blythe, Feng-Xian Jiang, Xiao-Hong Xu, Steve M. Heald, A. Mark Fox, Gillian A. Gehring",2013-03-11,2013-05-20,2013-08-13
2013,2,12,Ti-catalyzed HfSiO4 formation in HfTiO4 films on SiO2 studied by Z-contrast scanning electron microscopy,"Elizabeth Ellen Hoppe, Massiel Cristina Cisneros-Morales, Carolyn Rubin Aita",2013-02-28,2013-05-24,2013-08-13
2013,2,13,Evolution of threading screw dislocation conversion during solution growth of 4H-SiC,"S. Harada, Y. Yamamoto, K. Seki, A. Horio, T. Mitsuhashi, M. Tagawa, T. Ujihara",2013-03-04,2013-06-17,2013-08-13
2013,2,14,Valence instability and photochemical reaction at surface of strongly correlated MgTi2O4,"H. Fujiwara, Y. Ishige, T. Mizokawa, T. Sasaki, M. Isobe, Y. Ueda",2013-03-20,2013-06-03,2013-08-15
2013,2,15,Surfaces of colloidal PbSe nanocrystals probed by thin-film positron annihilation spectroscopy,"L. Chai, W. Al-Sawai, Y. Gao, A. J. Houtepen, P. E. Mijnarends, B. Barbiellini, H. Schut, L. C. van Schaarenburg, M. A. van Huis, L. Ravelli, W. Egger, S. Kaprzyk, A. Bansil, S. W. H. Eijt",2013-02-25,2013-05-03,2013-08-16
2013,2,16,Strain driven migration of In during the growth of InAs/GaAs quantum posts,"D. Alonso-Álvarez, B. Alén, J. M. Ripalda, A. Rivera, A. G. Taboada, J. M. Llorens, Y. González, L. González, F. Briones",2013-04-23,2013-06-13,2013-08-26
2013,3,1,Perspective: Graphene aerogel goes to superelasticity and ultraflyweight,"Zhen Xu, Haiyan Sun, Chao Gao",2013-05-24,2013-07-23,2013-09-06
2013,3,2,Superfast oxygen exchange kinetics on highly epitaxial LaBaCo2O5+δ thin films for intermediate temperature solid oxide fuel cells,"Jian Liu, Gregory Collins, Ming Liu, Chonglin Chen",2013-04-24,2013-06-10,2013-09-04
2013,3,3,Field emission from laterally aligned carbon nanotube flower arrays for low turn-on field emission,"Hiroe Kimura, Bin Zhao, Don N. Futaba, Takeo Yamada, Hiroyuki Kurachi, Sashiro Uemura, Kenji Hata",2013-05-22,2013-06-27,2013-09-04
2013,3,4,Chemically exfoliated large-area two-dimensional flakes of molybdenum disulfide for device applications,"Vivek Pachauri, Klaus Kern, Kannan Balasubramanian",2013-05-02,2013-07-26,2013-09-04
2013,3,5,Effect of grain size on superelasticity in Fe-Mn-Al-Ni shape memory alloy wire,"T. Omori, M. Okano, R. Kainuma",2013-06-13,2013-08-14,2013-09-04
2013,3,6,Film of lignocellulosic carbon material for self-supporting electrodes in electric double-layer capacitors,"Tsubasa Funabashi, Jun Mizuno, Masamichi Sato, Masao Kitajima, Makoto Matsuura, Shuichi Shoji",2013-06-22,2013-08-08,2013-09-04
2013,3,7,Controllable fabrication and optical properties of Sn-doped ZnO hexagonal microdisk for whispering gallery mode microlaser,"J. Dai, C. X. Xu, X. Y. Xu, J. T. Li, J. Y. Guo, Y. Lin",2013-07-04,2013-08-14,2013-09-04
2013,3,8,Structurally stabilized mesoporous TiO2 nanofibres for efficient dye-sensitized solar cells,"Fargol Hasani Bijarbooneh, Yue Zhao, Ziqi Sun, Yoon-Uk Heo, Victor Malgras, Jung Ho Kim, Shi Xue Dou",2013-05-10,2013-07-12,2013-09-06
2013,3,9,Photoconductive ZnO films with embedded quantum dot or ruthenium dye sensitizers,"Michael A. White, Jillian L. Dempsey, Gerard M. Carroll, James D. Gallagher, Daniel R. Gamelin",2013-06-06,2013-07-08,2013-09-06
2013,3,10,Efficient red electroluminescence from diketopyrrolopyrrole copolymerised with a polyfluorene,"O. Fenwick, S. Fusco, T. N. Baig, F. Di Stasio, T. T. Steckler, P. Henriksson, C. Fléchon, M. R. Andersson, F. Cacialli",2013-07-08,2013-08-19,2013-09-06
2013,3,11,Unprecedented grain size effect on stacking fault width,"A. Hunter, I. J. Beyerlein",2013-05-23,2013-07-26,2013-09-09
2013,3,12,Phase diagram of compressively strained nickelate thin films,"A. S. Disa, D. P. Kumah, J. H. Ngai, E. D. Specht, D. A. Arena, F. J. Walker, C. H. Ahn",2013-06-25,2013-08-15,2013-09-12
2013,3,13,From nanotubes to single crystals: Co doped TiO2,"J. Jaćimović, E. Horváth, B. Náfrádi, R. Gaál, N. Nikseresht, H. Berger, L. Forró, A. Magrez",2013-03-31,2013-06-28,2013-09-12
2013,3,14,Interface-dependent nucleation in nanostructured layered composites,"Irene J. Beyerlein, Jian Wang, Ruifeng Zhang",2013-05-10,2013-07-23,2013-09-16
2013,3,15,Synthesis and formation process of Al2CuHx: A new class of interstitial aluminum-based alloy hydride,"Hiroyuki Saitoh, Shigeyuki Takagi, Naruki Endo, Akihiko Machida, Katsutoshi Aoki, Shin-ichi Orimo, Yoshinori Katayama",2013-05-22,2013-07-29,2013-09-19
2013,3,16,Large acoustic thermal hysteresis in relaxor ferroelectric Pb(Zn1/3Nb2/3)O3-PbTiO3,"Shinya Tsukada, Tae Hyun Kim, Seiji Kojima",2013-04-09,2013-07-02,2013-09-19
2013,3,17,How thermoelectric properties of p-type Tl-filled skutterudites are improved,"Donghun Kim, Ken Kurosaki, Yuji Ohishi, Hiroaki Muta, Shinsuke Yamanaka",2013-04-29,2013-06-10,2013-09-19
2013,3,18,Giant rotary power of a fishnet-like metamaterial,"Shengxiang Wang, Frédéric Garet, Éric Lheurette, Magali Astic, Jean-Louis Coutaz, Didier Lippens",2013-02-21,2013-06-17,2013-09-19
2013,3,19,Fabrication of highly L1-ordered FePt thin films by low-temperature rapid thermal annealing,"M. Mizuguchi, T. Sakurada, T. Y. Tashiro, K. Sato, T. J. Konno, K. Takanashi",2013-05-03,2013-06-27,2013-09-19
2013,3,20,Active control of surface forces via nanopore structures,"Sunghan Kim, Andreas A. Polycarpou, Hong Liang",2013-06-08,2013-08-19,2013-09-19
2013,3,21,Bi-alkali antimonide photocathodes for high brightness accelerators,"S. Schubert, M. Ruiz-Osés, I. Ben-Zvi, T. Kamps, X. Liang, E. Muller, K. Müller, H. Padmore, T. Rao, X. Tong, T. Vecchione, J. Smedley",2013-05-28,2013-07-18,2013-09-20
2013,3,22,"Very bright, near-infrared single photon emitters in diamond","D. W. M. Lau, T. J. Karle, B. C. Johnson, B. C. Gibson, S. Tomljenovic-Hanic, A. D. Greentree, S. Prawer",2013-05-13,2013-06-28,2013-09-20
2013,3,23,Integration of TaOx-based resistive-switching element and GaAs diode,"Z. Xu, X. Tong, S. F. Yoon, Y. C. Yeo, C. K. Chia, G. K. Dalapati, D. Z. Chi",2013-05-15,2013-06-24,2013-09-24
2013,4,1,"Research Updates: The three M's (materials, metrology, and modeling) together pave the path to future nanoelectronic technologies","Sean W. King, Harsono Simka, Dan Herr, Hiro Akinaga, Mike Garner",2013-06-21,2013-08-23,2013-10-03
2013,4,2,Hollow micro/nanomaterials as nanoreactors for photocatalysis,"Xiaobo Li, Jian Liu, Anthony F. Masters, Vishnu K. Pareek, Thomas Maschmeyer",2013-09-06,2013-09-29,2013-10-23
2013,4,3,Combinatorial search of superconductivity in Fe-B composition spreads,"Kui Jin, Richard Suchoski, Sean Fackler, Yi Zhang, Xiaoqing Pan, Richard L. Greene, Ichiro Takeuchi",2013-06-09,2013-08-19,2013-10-01
2013,4,4,Evidence for multifilamentary valence changes in resistive switching SrTiO3 devices detected by transmission X-ray microscopy,"A. Koehl, H. Wasmund, A. Herpers, P. Guttmann, S. Werner, K. Henzler, H. Du, J. Mayer, R. Waser, R. Dittmann",2013-07-12,2013-08-23,2013-10-01
2013,4,5,The effect of vibrational entropy on the solubility and stability of ordered Al3Li phases in Al-Li alloys,"Zugang Mao, David N. Seidman, C. Wolverton",2013-06-26,2013-08-24,2013-10-01
